,city,coordinates,country,humidity,max_temp,pressure,wind_speed,cloudiness,lon,lat
40,Kamenka,"{'lon': 42.7678, 'lat': 51.3223}",RU,77,32.05,1023,13.8,12,42.7678,51.3223
41,New Norfolk,"{'lon': 147.0587, 'lat': -42.7826}",AU,66,55.71,1020,1.99,84,147.0587,-42.7826
42,Bethel,"{'lon': -73.414, 'lat': 41.3712}",US,80,55.58,1020,0.0,90,-73.414,41.3712
43,Methven,"{'lon': 171.65, 'lat': -43.6333}",NZ,61,71.02,1031,3.0,71,171.65,-43.6333
44,Darhan,"{'lon': 105.9228, 'lat': 49.4867}",MN,48,40.03,1023,4.92,37,105.9228,49.4867
45,Kavaratti,"{'lon': 72.642, 'lat': 10.5669}",IN,77,81.63,1012,10.45,100,72.642,10.5669
46,Lebu,"{'lon': -73.65, 'lat': -37.6167}",CL,95,51.91,1024,4.07,67,-73.65,-37.6167
47,Tuktoyaktuk,"{'lon': -133.0374, 'lat': 69.4541}",CA,100,23.0,1000,3.44,20,-133.0374,69.4541
48,Qaanaaq,"{'lon': -69.3632, 'lat': 77.484}",GL,59,-4.85,1010,10.69,0,-69.3632,77.484
49,Vao,"{'lon': 167.4833, 'lat': -22.6667}",NC,70,70.77,1015,9.69,29,167.4833,-22.6667
50,Mataura,"{'lon': 168.8643, 'lat': -46.1927}",NZ,52,71.76,1011,4.9,90,168.8643,-46.1927
51,Puerto Ayora,"{'lon': -90.3518, 'lat': -0.7393}",EC,94,68.56,1014,4.0,100,-90.3518,-0.7393
52,Vanimo,"{'lon': 141.3028, 'lat': -2.6741}",PG,63,86.2,1011,6.82,100,141.3028,-2.6741
53,Bonthe,"{'lon': -12.505, 'lat': 7.5264}",SL,93,76.05,1013,5.46,100,-12.505,7.5264
54,Saskylakh,"{'lon': 114.0833, 'lat': 71.9167}",RU,100,-16.8,1003,2.64,49,114.0833,71.9167
55,Hithadhoo,"{'lon': 73.0833, 'lat': -0.6}",MV,69,83.05,1013,14.23,18,73.0833,-0.6
56,Saint Anthony,"{'lon': -93.218, 'lat': 45.0205}",US,66,47.35,1015,1.99,1,-93.218,45.0205
57,Khatanga,"{'lon': 102.5, 'lat': 71.9667}",RU,90,0.16,997,16.22,99,102.5,71.9667
58,Faanui,"{'lon': -151.75, 'lat': -16.4833}",PF,87,76.28,1012,10.42,100,-151.75,-16.4833
59,Kutum,"{'lon': 24.6667, 'lat': 14.2}",SD,28,71.98,1013,9.64,8,24.6667,14.2
60,Barrow,"{'lon': -156.7887, 'lat': 71.2906}",US,80,28.42,998,8.05,90,-156.7887,71.2906
61,Sal Rei,"{'lon': -22.9167, 'lat': 16.1833}",CV,77,77.56,1016,16.2,59,-22.9167,16.1833
62,George Town,"{'lon': 100.3354, 'lat': 5.4112}",MY,92,80.53,1011,4.61,20,100.3354,5.4112
63,Galesong,"{'lon': 119.3661, 'lat': -5.3166}",ID,63,82.42,1011,2.73,67,119.3661,-5.3166
64,Pauini,"{'lon': -66.9764, 'lat': -7.7136}",BR,66,81.9,1010,2.13,93,-66.9764,-7.7136
65,Enumclaw,"{'lon': -121.9915, 'lat': 47.2043}",US,88,54.32,989,5.35,61,-121.9915,47.2043
66,Mar del Plata,"{'lon': -57.5575, 'lat': -38.0023}",AR,63,63.09,1003,4.0,0,-57.5575,-38.0023
67,Te Anau,"{'lon': 167.7167, 'lat': -45.4167}",NZ,75,63.61,1012,3.89,100,167.7167,-45.4167
68,Faya,"{'lon': 42.4509, 'lat': 18.3851}",SA,61,55.51,1017,2.13,6,42.4509,18.3851
69,Ponta do Sol,"{'lon': -17.1, 'lat': 32.6667}",PT,65,68.72,1023,7.65,62,-17.1,32.6667
70,Tasiilaq,"{'lon': -37.6368, 'lat': 65.6145}",GL,85,30.36,992,48.65,100,-37.6368,65.6145
71,Unity,"{'lon': -109.1682, 'lat': 52.4501}",CA,91,38.25,1007,17.67,16,-109.1682,52.4501
72,Hilo,"{'lon': -155.09, 'lat': 19.7297}",US,90,76.8,1018,11.5,90,-155.09,19.7297
73,Acaraú,"{'lon': -40.12, 'lat': -2.8856}",BR,76,79.38,1013,15.55,4,-40.12,-2.8856
74,Kapaa,"{'lon': -159.319, 'lat': 22.0752}",US,76,85.98,1019,5.01,40,-159.319,22.0752
75,Riyadh,"{'lon': 46.7219, 'lat': 24.6877}",SA,27,68.14,1013,4.34,0,46.7219,24.6877
76,Zhangaözen,"{'lon': 52.8, 'lat': 43.3}",KZ,34,48.31,1014,5.59,6,52.8,43.3
77,Yumen,"{'lon': 97.2, 'lat': 40.2833}",CN,33,46.67,1026,17.22,100,97.2,40.2833
78,Carnarvon,"{'lon': 113.6333, 'lat': -24.8667}",AU,64,71.67,1014,13.8,40,113.6333,-24.8667
79,Juneau,"{'lon': -134.4197, 'lat': 58.3019}",US,88,46.22,989,3.44,75,-134.4197,58.3019
80,Upernavik,"{'lon': -56.1549, 'lat': 72.7868}",GL,68,14.45,1007,5.55,0,-56.1549,72.7868
81,Moerai,"{'lon': -151.3333, 'lat': -22.4333}",PF,67,72.86,1015,15.82,5,-151.3333,-22.4333
82,Paamiut,"{'lon': -49.6678, 'lat': 61.994}",GL,39,26.17,994,9.71,0,-49.6678,61.994
83,Mastic Beach,"{'lon': -72.8521, 'lat': 40.7668}",US,79,60.03,1021,8.01,75,-72.8521,40.7668
84,Albany,"{'lon': -73.9662, 'lat': 42.6001}",US,84,51.22,1018,3.4,98,-73.9662,42.6001
85,Havre-St-Pierre,"{'lon': -63.5986, 'lat': 50.2334}",CA,76,46.4,1006,10.36,90,-63.5986,50.2334
86,Port Augusta,"{'lon': 137.7667, 'lat': -32.5}",AU,18,74.71,1019,2.89,0,137.7667,-32.5
87,Coyhaique,"{'lon': -72.0662, 'lat': -45.5752}",CL,81,46.35,995,9.22,90,-72.0662,-45.5752
88,Nanning,"{'lon': 108.3167, 'lat': 22.8167}",CN,53,66.65,1020,6.53,13,108.3167,22.8167
89,Fortuna,"{'lon': -124.1573, 'lat': 40.5982}",US,80,55.98,999,8.08,100,-124.1573,40.5982
90,Vardø,"{'lon': 31.1107, 'lat': 70.3705}",NO,59,34.65,1014,8.9,70,31.1107,70.3705
91,Vila Franca do Campo,"{'lon': -25.4333, 'lat': 37.7167}",PT,80,63.01,1029,3.94,1,-25.4333,37.7167
92,Mahébourg,"{'lon': 57.7, 'lat': -20.4081}",MU,78,74.25,1022,12.66,20,57.7,-20.4081
93,Beihai,"{'lon': 109.1, 'lat': 21.4833}",CN,63,71.11,1019,10.18,6,109.1,21.4833
94,Busselton,"{'lon': 115.3333, 'lat': -33.65}",AU,60,62.04,1009,8.81,97,115.3333,-33.65
95,Keetmanshoop,"{'lon': 18.1333, 'lat': -26.5833}",NA,21,61.47,1014,11.32,0,18.1333,-26.5833
96,Acajutla,"{'lon': -89.8275, 'lat': 13.5928}",SV,81,80.83,1013,2.35,97,-89.8275,13.5928
97,Tieli,"{'lon': 128.05, 'lat': 46.95}",CN,60,49.12,1018,11.45,100,128.05,46.95
98,Bakel,"{'lon': -12.4568, 'lat': 14.905}",SN,48,86.74,1012,6.73,60,-12.4568,14.905
99,Yellowknife,"{'lon': -114.3525, 'lat': 62.456}",CA,99,40.41,1000,21.85,75,-114.3525,62.456
100,Chapecó,"{'lon': -52.6183, 'lat': -27.0964}",BR,58,58.75,1020,0.0,0,-52.6183,-27.0964
101,Qasigiannguit,"{'lon': -51.1922, 'lat': 68.8193}",GL,81,1.26,1007,6.78,79,-51.1922,68.8193
102,Payo,"{'lon': 103.6372, 'lat': -3.7508}",ID,82,81.05,1012,1.61,100,103.6372,-3.7508
103,Comodoro Rivadavia,"{'lon': -67.5, 'lat': -45.8667}",AR,47,57.06,989,46.04,100,-67.5,-45.8667
104,Santa Cruz de la Sierra,"{'lon': -63.1667, 'lat': -17.8}",BO,83,67.46,1016,6.91,75,-63.1667,-17.8
105,Chicama,"{'lon': -79.1469, 'lat': -7.8447}",PE,80,59.54,1015,6.58,36,-79.1469,-7.8447
106,Nanortalik,"{'lon': -45.2371, 'lat': 60.1432}",GL,83,32.9,991,6.58,98,-45.2371,60.1432
107,Clarence Town,"{'lon': 151.7833, 'lat': -32.5833}",AU,29,78.35,1014,8.23,1,151.7833,-32.5833
108,Portland,"{'lon': -122.6762, 'lat': 45.5234}",US,73,55.98,988,3.0,75,-122.6762,45.5234
